speaker,quote_1,quote_2,quote_3,quote_4,quote_5,quote_6,quote_7,quote_8,quote_9,quote_10
Barack Obama,2.0105836048e-06,1.08148606689e-45,1.10417311594e-18,1.53124357362e-27,3.17708389425e-27,2.62576694395e-56,1.70301498187e-06,2.53582432992e-06,2.55158613555e-24,2.02227640693e-55
JFK,2.42517091825e-17,2.76102113957e-86,2.56179095374e-80,3.68913251255e-72,1.62882916919e-104,2.39847133063e-119,2.5e-41,1.05856281948e-77,7.80601619791e-98,4.29398411529e-162
Richard Nixon, 3.90594166412e-27,1.67155453282e-112,3.48583309241e-59,6.15839219679e-60,1.01340813634e-110,3.50256280917e-123,2.1353833013e-44,1.95989723605e-65,2.47107022101e-108,6.19697824413e-153
FDR,3.17269892574e-14,2.10387322958e-26,5.06745771507e-36,2.58019279381e-21,1.88532112361e-13,1.71840694791e-65,7.16133594722e-15,7.20476598458e-12,1.80018910405e-60,7.89586213197e-48
George Washington,3.125e-42,1.26567424078e-166,1.88925593857e-74,6.4615725599e-89,3.42664479671e-131,1.7106558068e-103,1e-50,2.34192037471e-72,7.31850117096e-145,3.46815376655e-188
Thomas Jefferson,2.32558139535e-32,2.38209541741e-166,3.99326047816e-79,3.32015016328e-86,7.54723151824e-116,3.52312924712e-128,2.5e-51,5.45905707196e-72,2.07744243753e-125,3.48093081713e-219
Donald Trump,2.10852616513e-07,1.36706147385e-52,1.82787899252e-34,9.92905775236e-07,9.87645424731e-17,3.28667984161e-45,4.05794892995e-07,0.00121538694387,2.74029501526e-15,1.36084148853e-30
Abe Lincoln,4.37198544552e-24,6.5446643854e-157,8.58145451379e-62,7.75540720205e-68,2.30165951836e-104,9.34494937259e-169,2.22222222222e-41,9.43696083203e-72,4.39000377425e-123,2.86377535658e-178
Bill Clinton,3.18980821258e-07,4.56738591869e-90,8.12804580575e-48,8.04009932622e-53,8.77310466838e-97,9.02821829961e-118,4.41503469425e-27,6.72767885673e-31,1.91851172695e-82,4.8487732284e-151
Woodrow Wilson,6.55963004259e-38,5.21493350696e-130,2.7391080425e-75,6.22230823478e-54,8.12527818997e-98,2.94054900488e-104,7.69230769231e-42,9.04473889648e-67,7.86048678808e-121,6.28952112208e-150
